"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 00:00:00";"2";"0";"192";"5,37";"8388608";"731487";"8,72";"0";"43";"554";"5";"6"
"05.11.2015 00:05:00";"2";"0";"175";"4,89";"8388608";"675283";"8,05";"4";"90";"554";"3";"3"
"05.11.2015 00:10:00";"2";"0";"168";"4,7";"8388608";"1156789";"13,79";"47";"45";"554";"4";"5"
"05.11.2015 00:15:00";"2";"0";"185";"5,16";"8388608";"787690";"9,39";"0";"42";"554";"4";"5"
"05.11.2015 00:20:00";"2";"0";"156";"4,36";"8388608";"485700";"5,79";"1";"41";"554";"5";"6"
"05.11.2015 00:25:00";"2";"0";"160";"4,47";"8388608";"524288";"6,25";"1";"43";"554";"3";"3"
"05.11.2015 00:30:00";"2";"0";"188";"5,25";"8388608";"614046";"7,32";"0";"43";"554";"5";"6"
"05.11.2015 00:35:00";"2";"0";"170";"4,75";"8388608";"619918";"7,39";"0";"44";"554";"3";"3"
"05.11.2015 00:40:00";"2";"0";"164";"4,57";"8388608";"1033476";"12,32";"0";"43";"554";"4";"5"
"05.11.2015 00:45:00";"2";"0";"197";"5,49";"8388608";"708837";"8,45";"0";"42";"554";"3";"3"
"05.11.2015 00:50:00";"2";"0";"166";"4,65";"8388608";"496606";"5,92";"0";"40";"554";"5";"21"
"05.11.2015 00:55:00";"2";"0";"187";"5,23";"8388608";"536032";"6,39";"1";"43";"554";"3";"3"
"05.11.2015 01:00:00";"2";"0";"512";"14,29";"8388608";"1609774";"19,19";"7224";"44";"554";"53";"2267"
"05.11.2015 01:05:00";"2";"0";"338";"9,44";"8388608";"2180199";"25,99";"2616";"153";"554";"21";"544"
"05.11.2015 01:10:00";"2";"0";"205";"5,73";"8388608";"1917636";"22,86";"153";"108";"554";"4";"5"
"05.11.2015 01:15:00";"2";"0";"164";"4,58";"8388608";"1033476";"12,32";"1";"41";"554";"3";"3"
"05.11.2015 01:20:00";"2";"0";"157";"4,39";"8388608";"496606";"5,92";"0";"43";"554";"4";"5"
"05.11.2015 01:25:00";"2";"0";"196";"5,48";"8388608";"435369";"5,19";"1";"42";"554";"3";"3"
"05.11.2015 01:30:00";"2";"0";"180";"5,04";"8388608";"1128268";"13,45";"140";"40";"554";"4";"5"
"05.11.2015 01:35:00";"2";"0";"186";"5,19";"8388608";"994050";"11,85";"75";"69";"554";"3";"3"
"05.11.2015 01:40:00";"2";"0";"197";"5,49";"8388608";"1391670";"16,59";"1";"44";"554";"5";"6"
"05.11.2015 01:45:00";"2";"0";"188";"5,26";"8388608";"888354";"10,59";"0";"44";"554";"3";"3"
"05.11.2015 01:50:00";"2";"0";"166";"4,64";"8388608";"720581";"8,59";"0";"42";"554";"4";"5"
"05.11.2015 01:55:00";"2";"0";"176";"4,91";"8388608";"687027";"8,19";"0";"42";"554";"3";"3"
"05.11.2015 02:00:00";"2";"0";"173";"4,83";"8388608";"697932";"8,32";"1";"42";"554";"5";"5"
"05.11.2015 02:05:00";"2";"0";"184";"5,13";"8388608";"770913";"9,19";"98";"46";"554";"6";"25"
"05.11.2015 02:10:00";"2";"0";"194";"5,41";"8388608";"1307784";"15,59";"115";"43";"554";"8";"109"
"05.11.2015 02:15:00";"2";"0";"178";"4,97";"8388608";"708837";"8,45";"82";"45";"554";"5";"84"
"05.11.2015 02:20:00";"2";"0";"155";"4,32";"8388608";"552809";"6,59";"83";"39";"554";"8";"90"
"05.11.2015 02:25:00";"2";"0";"181";"5,07";"8388608";"452146";"5,39";"87";"42";"554";"5";"90"
"05.11.2015 02:30:00";"2";"0";"184";"5,15";"8388608";"670250";"7,99";"96";"43";"554";"7";"100"
"05.11.2015 02:35:00";"2";"0";"216";"6,04";"8388608";"1089680";"12,99";"92";"79";"554";"6";"96"
"05.11.2015 02:40:00";"2";"0";"167";"4,68";"8388608";"1307784";"15,59";"89";"42";"554";"13";"123"
"05.11.2015 02:45:00";"2";"0";"183";"5,1";"8388608";"821245";"9,79";"75";"42";"554";"5";"81"
"05.11.2015 02:50:00";"2";"0";"150";"4,18";"8388608";"552809";"6,59";"84";"41";"554";"6";"89"
"05.11.2015 02:55:00";"2";"0";"148";"4,14";"8388608";"603141";"7,19";"84";"42";"554";"5";"91"
"05.11.2015 03:00:00";"2";"0";"192";"5,35";"8388608";"641729";"7,65";"87";"42";"554";"7";"92"
"05.11.2015 03:05:00";"2";"0";"178";"4,97";"8388608";"792723";"9,45";"84";"90";"554";"5";"88"
"05.11.2015 03:10:00";"2";"0";"145";"4,06";"8388608";"1190343";"14,19";"22";"44";"554";"5";"31"
"05.11.2015 03:15:00";"2";"0";"177";"4,94";"8388608";"692060";"8,25";"0";"42";"554";"3";"3"
"05.11.2015 03:20:00";"2";"0";"136";"3,81";"8388608";"519255";"6,19";"0";"39";"554";"4";"5"
"05.11.2015 03:25:00";"2";"0";"144";"4,02";"8388608";"435369";"5,19";"0";"42";"554";"3";"3"
"05.11.2015 03:30:00";"2";"0";"204";"5,69";"8388608";"597269";"7,12";"30";"78";"554";"5";"6"
"05.11.2015 03:35:00";"2";"0";"162";"4,54";"8388608";"708837";"8,45";"1";"62";"554";"3";"3"
"05.11.2015 03:40:00";"2";"0";"143";"3,99";"8388608";"1312817";"15,65";"0";"42";"554";"5";"5"
"05.11.2015 03:45:00";"2";"0";"190";"5,3";"8388608";"619918";"7,39";"0";"42";"554";"7";"72"
"05.11.2015 03:50:00";"2";"0";"153";"4,28";"8388608";"664378";"7,92";"0";"42";"554";"7";"92"
"05.11.2015 03:55:00";"2";"0";"144";"4,04";"8388608";"630823";"7,52";"0";"41";"554";"5";"90"
"05.11.2015 04:00:00";"2";"0";"189";"5,28";"8388608";"670250";"7,99";"0";"43";"554";"8";"91"
"05.11.2015 04:05:00";"2";"0";"156";"4,35";"8388608";"614046";"7,32";"1";"45";"554";"5";"87"
"05.11.2015 04:10:00";"2";"0";"147";"4,11";"8388608";"1307784";"15,59";"3";"45";"554";"6";"79"
"05.11.2015 04:15:00";"2";"0";"177";"4,95";"8388608";"792723";"9,45";"1";"41";"554";"4";"39"
"05.11.2015 04:20:00";"2";"0";"134";"3,76";"8388608";"697932";"8,32";"0";"41";"554";"4";"5"
"05.11.2015 04:25:00";"2";"0";"140";"3,92";"8388608";"636695";"7,59";"0";"41";"554";"3";"3"
"05.11.2015 04:30:00";"2";"0";"192";"5,36";"8388608";"748264";"8,92";"1";"42";"554";"5";"6"
"05.11.2015 04:35:00";"2";"0";"180";"5,03";"8388608";"798596";"9,52";"2";"58";"554";"3";"3"
"05.11.2015 04:40:00";"2";"0";"143";"4";"8388608";"1318689";"15,72";"0";"43";"554";"4";"5"
"05.11.2015 04:45:00";"2";"0";"180";"5,02";"8388608";"586364";"6,99";"1";"44";"554";"3";"3"
"05.11.2015 04:50:00";"2";"0";"144";"4,03";"8388608";"597269";"7,12";"0";"41";"554";"4";"5"
"05.11.2015 04:55:00";"2";"0";"143";"4";"8388608";"513383";"6,12";"0";"41";"554";"2";"3"
"05.11.2015 05:00:00";"2";"0";"182";"5,09";"8388608";"536032";"6,39";"1";"43";"554";"5";"6"
"05.11.2015 05:05:00";"2";"0";"157";"4,39";"8388608";"697932";"8,32";"1";"60";"554";"3";"3"
"05.11.2015 05:10:00";"2";"0";"148";"4,13";"8388608";"1358116";"16,19";"8";"51";"554";"9";"24"
"05.11.2015 05:15:00";"2";"0";"182";"5,08";"8388608";"608174";"7,25";"1";"43";"554";"3";"3"
"05.11.2015 05:20:00";"2";"0";"137";"3,83";"8388608";"569586";"6,79";"0";"40";"554";"4";"5"
"05.11.2015 05:25:00";"2";"0";"145";"4,05";"8388608";"418592";"4,99";"0";"41";"554";"2";"3"
"05.11.2015 05:30:00";"2";"0";"188";"5,26";"8388608";"681155";"8,12";"0";"43";"554";"5";"6"
"05.11.2015 05:35:00";"2";"0";"166";"4,65";"8388608";"603141";"7,19";"1";"55";"554";"3";"3"
"05.11.2015 05:40:00";"2";"0";"149";"4,16";"8388608";"1509111";"17,99";"0";"43";"554";"4";"5"
"05.11.2015 05:45:00";"2";"0";"192";"5,35";"8388608";"787690";"9,39";"1";"42";"554";"3";"3"
"05.11.2015 05:50:00";"2";"0";"153";"4,28";"8388608";"658506";"7,85";"0";"40";"554";"5";"6"
"05.11.2015 05:55:00";"2";"0";"152";"4,25";"8388608";"552809";"6,59";"0";"41";"554";"2";"3"
"05.11.2015 06:00:00";"2";"0";"188";"5,26";"8388608";"536032";"6,39";"0";"43";"554";"5";"6"
"05.11.2015 06:05:00";"2";"0";"149";"4,18";"8388608";"574620";"6,85";"1";"60";"554";"3";"3"
"05.11.2015 06:10:00";"2";"0";"150";"4,2";"8388608";"1145045";"13,65";"0";"42";"554";"4";"5"
"05.11.2015 06:15:00";"2";"0";"182";"5,09";"8388608";"770913";"9,19";"1";"41";"554";"3";"4"
"05.11.2015 06:20:00";"2";"0";"139";"3,88";"8388608";"608174";"7,25";"1";"41";"554";"4";"5"
"05.11.2015 06:25:00";"2";"0";"142";"3,98";"8388608";"681155";"8,12";"0";"41";"554";"3";"3"
"05.11.2015 06:30:00";"2";"0";"186";"5,19";"8388608";"603141";"7,19";"0";"42";"554";"5";"6"
"05.11.2015 06:35:00";"2";"0";"195";"5,45";"8388608";"1301912";"15,52";"2";"59";"554";"3";"3"
"05.11.2015 06:40:00";"2";"0";"145";"4,04";"8388608";"1307784";"15,59";"0";"42";"554";"4";"5"
"05.11.2015 06:45:00";"2";"0";"208";"5,8";"8388608";"871576";"10,39";"1";"44";"554";"11";"12"
"05.11.2015 06:50:00";"2";"0";"144";"4,03";"8388608";"754136";"8,99";"0";"41";"554";"4";"5"
"05.11.2015 06:55:00";"2";"0";"161";"4,5";"8388608";"485700";"5,79";"0";"41";"554";"9";"10"
"05.11.2015 07:00:00";"2";"0";"189";"5,29";"8388608";"664378";"7,92";"1";"45";"554";"5";"6"
"05.11.2015 07:05:00";"2";"0";"149";"4,17";"8388608";"826278";"9,85";"1";"64";"554";"3";"3"
"05.11.2015 07:10:00";"2";"0";"147";"4,1";"8388608";"1463812";"17,45";"0";"42";"554";"4";"5"
"05.11.2015 07:15:00";"2";"0";"179";"5";"8388608";"725615";"8,65";"1";"42";"554";"3";"3"
"05.11.2015 07:20:00";"2";"0";"143";"4";"8388608";"653473";"7,79";"0";"40";"554";"4";"5"
"05.11.2015 07:25:00";"2";"0";"143";"4,01";"8388608";"446274";"5,32";"0";"41";"554";"3";"3"
"05.11.2015 07:30:00";"2";"0";"198";"5,52";"8388608";"541065";"6,45";"1";"43";"554";"5";"6"
"05.11.2015 07:35:00";"2";"0";"157";"4,38";"8388608";"675283";"8,05";"2";"54";"554";"3";"3"
"05.11.2015 07:40:00";"2";"0";"139";"3,89";"8388608";"921908";"10,99";"0";"41";"554";"4";"5"
"05.11.2015 07:45:00";"2";"0";"189";"5,27";"8388608";"754136";"8,99";"1";"43";"554";"5";"11"
"05.11.2015 07:50:00";"2";"0";"145";"4,05";"8388608";"586364";"6,99";"0";"41";"554";"6";"26"
"05.11.2015 07:55:00";"2";"0";"148";"4,15";"8388608";"546937";"6,52";"0";"41";"554";"5";"25"
"05.11.2015 08:00:00";"2";"0";"196";"5,47";"8388608";"603141";"7,19";"0";"46";"554";"10";"12"
"05.11.2015 08:05:00";"2";"0";"166";"4,64";"8388608";"586364";"6,99";"1";"58";"554";"18";"24"
