"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 04:15:00";"2";"0";"76";"1,67";"8388608";"1067031";"12,72";"0";"7";"64";"6";"6"
"05.11.2015 04:20:00";"2";"0";"86";"1,88";"8388608";"1039349";"12,39";"0";"7";"64";"43";"18"
"05.11.2015 04:25:00";"2";"0";"76";"1,68";"8388608";"943718";"11,25";"0";"7";"64";"6";"6"
"05.11.2015 04:30:00";"2";"0";"85";"1,85";"8388608";"989017";"11,79";"0";"7";"64";"44";"18"
"05.11.2015 04:35:00";"2";"0";"76";"1,67";"8388608";"1167694";"13,92";"0";"7";"64";"6";"6"
"05.11.2015 04:40:00";"2";"0";"87";"1,9";"8388608";"1117363";"13,32";"0";"7";"64";"44";"18"
"05.11.2015 04:45:00";"2";"0";"89";"1,96";"8388608";"1301912";"15,52";"0";"7";"64";"7";"6"
"05.11.2015 04:50:00";"2";"0";"88";"1,92";"8388608";"1117363";"13,32";"0";"7";"64";"43";"18"
"05.11.2015 04:55:00";"2";"0";"78";"1,7";"8388608";"966368";"11,52";"0";"6";"64";"6";"6"
"05.11.2015 05:00:00";"2";"0";"86";"1,88";"8388608";"994050";"11,85";"0";"8";"64";"44";"18"
"05.11.2015 05:05:00";"2";"0";"78";"1,72";"8388608";"1072903";"12,79";"0";"8";"64";"6";"6"
"05.11.2015 05:10:00";"2";"0";"96";"2,11";"8388608";"1195377";"14,25";"0";"16";"64";"63";"30"
"05.11.2015 05:15:00";"2";"0";"77";"1,68";"8388608";"1072903";"12,79";"0";"7";"64";"7";"6"
"05.11.2015 05:20:00";"2";"0";"87";"1,92";"8388608";"999922";"11,92";"0";"7";"64";"43";"18"
"05.11.2015 05:25:00";"2";"0";"78";"1,71";"8388608";"932813";"11,12";"0";"7";"64";"6";"6"
"05.11.2015 05:30:00";"2";"0";"87";"1,9";"8388608";"977273";"11,65";"0";"6";"64";"44";"18"
"05.11.2015 05:35:00";"2";"0";"76";"1,67";"8388608";"1218026";"14,52";"0";"7";"64";"6";"6"
"05.11.2015 05:40:00";"2";"0";"86";"1,88";"8388608";"899259";"10,72";"0";"7";"64";"44";"18"
"05.11.2015 05:45:00";"2";"0";"90";"1,96";"8388608";"1251580";"14,92";"0";"7";"64";"7";"6"
"05.11.2015 05:50:00";"2";"0";"88";"1,93";"8388608";"1212154";"14,45";"0";"7";"64";"44";"18"
"05.11.2015 05:55:00";"2";"0";"78";"1,7";"8388608";"938685";"11,19";"0";"6";"64";"6";"6"
"05.11.2015 06:00:00";"2";"0";"85";"1,86";"8388608";"960496";"11,45";"0";"6";"64";"44";"18"
"05.11.2015 06:05:00";"2";"0";"77";"1,69";"8388608";"921908";"10,99";"0";"7";"64";"6";"6"
"05.11.2015 06:10:00";"2";"0";"87";"1,92";"8388608";"748264";"8,92";"0";"7";"64";"44";"18"
"05.11.2015 06:15:00";"2";"0";"76";"1,66";"8388608";"910164";"10,85";"0";"6";"64";"6";"6"
"05.11.2015 06:20:00";"2";"0";"87";"1,91";"8388608";"876610";"10,45";"0";"8";"64";"44";"18"
"05.11.2015 06:25:00";"2";"0";"77";"1,7";"8388608";"938685";"11,19";"0";"7";"64";"6";"6"
"05.11.2015 06:30:00";"2";"0";"84";"1,84";"8388608";"955462";"11,39";"0";"7";"64";"44";"18"
"05.11.2015 06:35:00";"2";"0";"77";"1,69";"8388608";"888354";"10,59";"0";"7";"64";"6";"6"
"05.11.2015 06:40:00";"2";"0";"87";"1,91";"8388608";"871576";"10,39";"0";"7";"64";"44";"18"
"05.11.2015 06:45:00";"2";"0";"89";"1,95";"8388608";"1279263";"15,25";"0";"6";"64";"7";"6"
